"genelist","converted_alias"
"Mfsd9","ENSG00000135953"
"Tmem182","ENSG00000170417"
"Pou3f3","ENSG00000198914"
"Mrps9","ENSG00000135972"
"Gpr45","ENSG00000135973"
"Tgfbrap1","ENSG00000135966"
"AI597479","ENSG00000135974"
"Fhl2","ENSG00000115641"
"Nck2","ENSG00000071051"
"Uxs1","ENSG00000115652"
"Tpp2","ENSG00000134900"
"Mettl21c","ENSG00000139780"
"Tex30","ENSG00000151287"
"Bivm","ENSG00000134897"
"Ercc5","ENSG00000134899"
"Gulp1","ENSG00000144366"
"Col3a1","ENSG00000168542"
"Col5a2","ENSG00000204262"
"Wdr75","ENSG00000115368"
"Slc40a1","ENSG00000138449"
"Dnah7b","ENSG00000118997"
"Dnah7c","ENSG00000118997"
"Slc39a10","ENSG00000196950"
"Tmeff2","ENSG00000144339"
"Nabp1","ENSG00000173559"
"Myo1b","ENSG00000128641"
"Stat4","ENSG00000138378"
"Stat1","ENSG00000115415"
"Gls","ENSG00000115419"
"Nab1","ENSG00000138386"
"Mfsd6","ENSG00000151690"
"Inpp1","ENSG00000151689"
"Hibch","ENSG00000198130"
"1700019D03Rik","ENSG00000187699"
"Mstn","ENSG00000138379"
"Pms1","ENSG00000064933"
"Ormdl1","ENSG00000128699"
"Osgepl1","ENSG00000128694"
"Asnsd1","ENSG00000138381"
"Dnah7a","ENSG00000118997"
"Stk17b","ENSG00000081320"
"Hecw2","ENSG00000138411"
"Ccdc150","ENSG00000144395"
"Gtf3c3","ENSG00000119041"
"Pgap1","ENSG00000197121"
"Ankrd44","ENSG00000065413"
"Sf3b1","ENSG00000115524"
"Coq10b","ENSG00000115520"
"Hspd1","ENSG00000144381"
"Hspe1","ENSG00000115541"
"Mob4","ENSG00000115540"
"Rftn2","ENSG00000162944"
"Mars2","ENSG00000247626"
"Boll","ENSG00000152430"
"Plcl1","ENSG00000115896"
"Hsfy2","ENSG00000172468"
"Satb2","ENSG00000119042"
"1700066M21Rik","ENSG00000178074"
"Tyw5","ENSG00000162971"
"Spats2l","ENSG00000196141"
"Kctd18","ENSG00000155729"
"Aox1","ENSG00000138356"
"Bzw1","ENSG00000082153"
"Clk1","ENSG00000013441"
"Ppil3","ENSG00000240344"
"Nif3l1","ENSG00000196290"
"Orc2","ENSG00000115942"
"Ndufb3","ENSG00000119013"
"Cflar","ENSG00000003402"
"Casp8","ENSG00000064012"
"Trak2","ENSG00000115993"
"Stradb","ENSG00000082146"
"Tmem237","ENSG00000155755"
"Mpp4","ENSG00000082126"
"Als2","ENSG00000003393"
"Cdk15","ENSG00000138395"
"Fzd7","ENSG00000155760"
"Sumo1","ENSG00000116030"
"Nop58","ENSG00000055044"
"Bmpr2","ENSG00000204217"
"Fam117b","ENSG00000138439"
"Ica1l","ENSG00000163596"
"Wdr12","ENSG00000138442"
"Carf","ENSG00000138380"
"Nbeal1","ENSG00000144426"
"Cyp20a1","ENSG00000119004"
"Abi2","ENSG00000138443"
"Raph1","ENSG00000173166"
"Cd28","ENSG00000178562"
"Ctla4","ENSG00000163599"
"Icos","ENSG00000163600"
"Pard3b","ENSG00000116117"
"Nrp2","ENSG00000118257"
"Ino80d","ENSG00000114933"
"Ndufs1","ENSG00000023228"
"Eef1b2","ENSG00000114942"
"Zdbf2","ENSG00000204186"
"Adam23","ENSG00000114948"
"Dytn","ENSG00000232125"
"Mdh1b","ENSG00000138400"
"Fastkd2","ENSG00000118246"
"Klf7","ENSG00000118263"
"Creb1","ENSG00000118260"
"Mettl21a","ENSG00000144401"
"Ccnyl1","ENSG00000163249"
"Fzd5","ENSG00000163251"
"Plekhm3","ENSG00000178385"
"Crygd","ENSG00000118231"
"Crygc","ENSG00000163254"
"Crygb","ENSG00000182187"
"Cryga","ENSG00000168582"
"D630023F18Rik","ENSG00000188674"
"Idh1","ENSG00000138413"
"Pikfyve","ENSG00000115020"
"Pth2r","ENSG00000144407"
"Map2","ENSG00000078018"
"Unc80","ENSG00000144406"
"Rpe","ENSG00000197713"
"Kansl1l","ENSG00000144445"
"Acadl","ENSG00000115361"
"Myl1","ENSG00000168530"
"Lancl1","ENSG00000115365"
"Cps1","ENSG00000021826"
"Erbb4","ENSG00000178568"
"Ikzf2","ENSG00000030419"
"Spag16","ENSG00000144451"
"Vwc2l","ENSG00000174453"
"Bard1","ENSG00000138376"
"Abca12","ENSG00000144452"
"Atic","ENSG00000138363"
"Fn1","ENSG00000115414"
"Mreg","ENSG00000118242"
"Pecr","ENSG00000115425"
"Tmem169","ENSG00000163449"
"Xrcc5","ENSG00000079246"
"Smarcal1","ENSG00000138375"
"Ankar","ENSG00000151687"
"Rpl37a","ENSG00000197756"
"Igfbp2","ENSG00000115457"
"Igfbp5","ENSG00000115461"
"Tns1","ENSG00000079308"
"Rufy4","ENSG00000188282"
"Cxcr2","ENSG00000180871"
"Cxcr1","ENSG00000163464"
"Arpc2","ENSG00000163466"
"Gpbar1","ENSG00000179921"
"Aamp","ENSG00000127837"
"Pnkd","ENSG00000127838"
"Tmbim1","ENSG00000135926"
"Slc11a1","ENSG00000018280"
"Ctdsp1","ENSG00000144579"
"Vil1","ENSG00000127831"
"Usp37","ENSG00000135913"
"Plcd4","ENSG00000115556"
"Zfp142","ENSG00000115568"
"Bcs1l","ENSG00000074582"
"Rnf25","ENSG00000163481"
"Stk36","ENSG00000163482"
"Ttll4","ENSG00000135912"
"Cyp27a1","ENSG00000135929"
"Prkag3","ENSG00000115592"
"Wnt6","ENSG00000115596"
"Wnt10a","ENSG00000135925"
"Cdk5r2","ENSG00000171450"
"Fev","ENSG00000163497"
"Cryba2","ENSG00000163499"
"Ihh","ENSG00000163501"
"Nhej1","ENSG00000187736"
"Slc23a3","ENSG00000213901"
"Cnppd1","ENSG00000115649"
"Zfand2b","ENSG00000158552"
"Abcb6","ENSG00000115657"
"Atg9a","ENSG00000198925"
"Ankzf1","ENSG00000163516"
"Glb1l","ENSG00000163521"
"Stk16","ENSG00000115661"
"Tuba4a","ENSG00000127824"
"Dnajb2","ENSG00000135924"
"Ptprn","ENSG00000054356"
"Resp18","ENSG00000182698"
"Dnpep","ENSG00000123992"
"Des","ENSG00000175084"
"Speg","ENSG00000072195"
"Gmppa","ENSG00000144591"
"Asic4","ENSG00000072182"
"Chpf","ENSG00000123989"
"Tmem198","ENSG00000188760"
"Inha","ENSG00000123999"
"Stk11ip","ENSG00000144589"
"Slc4a3","ENSG00000114923"
"Epha4","ENSG00000116106"
"Pax3","ENSG00000135903"
"Sgpp2","ENSG00000163082"
"Farsb","ENSG00000116120"
"Mogat1","ENSG00000124003"
"Acsl3","ENSG00000123983"
"Utp14b","ENSG00000253797"
"Kcne4","ENSG00000152049"
"Scg2","ENSG00000171951"
"Ap1s3","ENSG00000152056"
"Wdfy1","ENSG00000085449"
"Mrpl44","ENSG00000135900"
"Serpine2","ENSG00000135919"
"Fam124b","ENSG00000124019"
"Cul3","ENSG00000036257"
"Dock10","ENSG00000135905"
"Nyap2","ENSG00000144460"
"Irs1","ENSG00000169047"
"Rhbdd1","ENSG00000144468"
"Col4a4","ENSG00000081052"
"Col4a3","ENSG00000169031"
"Tm4sf20","ENSG00000168955"
"Agfg1","ENSG00000173744"
"Slc19a3","ENSG00000135917"
"Ccl20","ENSG00000115009"
"Sphkap","ENSG00000153820"
"Pid1","ENSG00000153823"
"Dner","ENSG00000187957"
"Trip12","ENSG00000153827"
"Fbxo36","ENSG00000153832"
"Slc16a14","ENSG00000163053"
"Sp110","ENSG00000135899"
"Sp140","ENSG00000079263"
"Cab39","ENSG00000135932"
"Itm2c","ENSG00000135916"
"Gpr55","ENSG00000135898"
"Spata3","ENSG00000173699"
"2810459M11Rik","ENSG00000204128"
"Psmd1","ENSG00000173692"
"Htr2b","ENSG00000135914"
"Armc9","ENSG00000135931"
"B3gnt7","ENSG00000156966"
"Ncl","ENSG00000115053"
"Nmur1","ENSG00000171596"
"Pde6d","ENSG00000156973"
"Cops7b","ENSG00000144524"
"Nppc","ENSG00000163273"
"Dis3l2","ENSG00000144535"
"Alpi","ENSG00000163283"
"Akp3","ENSG00000163295"
"Ecel1","ENSG00000171551"
"Prss56","ENSG00000237412"
"Chrnd","ENSG00000135902"
"Chrng","ENSG00000196811"
"Eif4e2","ENSG00000135930"
"Efhd1","ENSG00000115468"
"Gigyf2","ENSG00000204120"
"Kcnj13","ENSG00000115474"
"Ngef","ENSG00000066248"
"Neu2","ENSG00000115488"
"Inpp5d","ENSG00000168918"
"Atg16l1","ENSG00000085978"
"Sag","ENSG00000130561"
"Dgkd","ENSG00000077044"
"Usp40","ENSG00000085982"
"Ugt1a10","ENSG00000242515"
"Ugt1a9","ENSG00000242515"
"Ugt1a6b","ENSG00000167165"
"Ugt1a6a","ENSG00000167165"
"Ugt1a5","ENSG00000244474"
"Ugt1a2","ENSG00000288702"
"Ugt1a1","ENSG00000241635"
"Mroh2a","ENSG00000185038"
"Hjurp","ENSG00000123485"
"Trpm8","ENSG00000144481"
"Spp2","ENSG00000072080"
"Arl4c","ENSG00000188042"
"Sh3bp4","ENSG00000130147"
"Agap1","ENSG00000157985"
"Gbx2","ENSG00000168505"
"Asb18","ENSG00000182177"
"Iqca","ENSG00000132321"
"Ackr3","ENSG00000144476"
"Cops8","ENSG00000198612"
"Col6a3","ENSG00000163359"
"Mlph","ENSG00000115648"
"Prlh","ENSG00000071677"
"Rab17","ENSG00000124839"
"Lrrfip1","ENSG00000124831"
"Rbm44","ENSG00000177483"
"Ramp1","ENSG00000132329"
"Ube2f","ENSG00000184182"
"Scly","ENSG00000132330"
"Espnl","ENSG00000144488"
"Klhl30","ENSG00000168427"
"Ilkap","ENSG00000132323"
"Hes6","ENSG00000144485"
"Per2","ENSG00000132326"
"Traf3ip1","ENSG00000204104"
"Asb1","ENSG00000065802"
"Twist2","ENSG00000233608"
"Hdac4","ENSG00000068024"
"Ndufa10","ENSG00000130414"
"Olfr1416","ENSG00000182083"
"Olfr1414","ENSG00000178586"
"Otos","ENSG00000178602"
"Gpc1","ENSG00000063660"
"Ankmy1","ENSG00000144504"
"Dusp28","ENSG00000188542"
"Rnpepl1","ENSG00000142327"
"Capn10","ENSG00000142330"
"Gpr35","ENSG00000178623"
"Aqp12","ENSG00000184945"
"Kif1a","ENSG00000130294"
"Agxt","ENSG00000172482"
"Sned1","ENSG00000162804"
"Pask","ENSG00000115687"
"Ppp1r7","ENSG00000115685"
"Ano7","ENSG00000146205"
"Hdlbp","ENSG00000115677"
"Farp2","ENSG00000006607"
"Stk25","ENSG00000115694"
"Bok","ENSG00000176720"
"Thap4","ENSG00000176946"
"Atg4b","ENSG00000168397"
"Dtymk","ENSG00000168393"
"Ing5","ENSG00000168395"
"D2hgdh","ENSG00000180902"
"Gal3st2","ENSG00000154252"
"Neu4","ENSG00000204099"
"Pdcd1","ENSG00000188389"
"Fam174a","ENSG00000174132"
"St8sia4","ENSG00000113532"
"Slco4c1","ENSG00000173930"
"Ppip5k2","ENSG00000145725"
"Gin1","ENSG00000145723"
"Pam","ENSG00000145730"
"Cdh20","ENSG00000101542"
"Rnf152","ENSG00000176641"
"Pign","ENSG00000197563"
"Tnfrsf11a","ENSG00000141655"
"Zcchc2","ENSG00000141664"
"Phlpp1","ENSG00000081913"
"Bcl2","ENSG00000171791"
"Kdsr","ENSG00000119537"
"Vps4b","ENSG00000119541"
"Serpinb5","ENSG00000206075"
"Serpinb12","ENSG00000166634"
"Serpinb13","ENSG00000197641"
"Serpinb3a","ENSG00000206073"
"Serpinb3d","ENSG00000057149"
"Serpinb11","ENSG00000206072"
"Serpinb7","ENSG00000166396"
"Serpinb2","ENSG00000197632"
"Serpinb8","ENSG00000166401"
"Cdh7","ENSG00000081138"
"Cdh19","ENSG00000071991"
"Dsel","ENSG00000171451"
"Cntnap5a","ENSG00000155052"
"Gm7145","ENSG00000274349"
"Tsn","ENSG00000211460"
"Nifk","ENSG00000155438"
"Clasp1","ENSG00000074054"
"Tfcp2l1","ENSG00000115112"
"Gli2","ENSG00000074047"
"Inhbb","ENSG00000163083"
"Ralb","ENSG00000144118"
"Tmem185b","ENSG00000226479"
"Ptpn4","ENSG00000088179"
"Tmem177","ENSG00000144120"
"Sctr","ENSG00000080293"
"Tmem37","ENSG00000171227"
"Dbi","ENSG00000155368"
"3110009E18Rik","ENSG00000186132"
"Steap3","ENSG00000115107"
"C1ql2","ENSG00000144119"
"Marco","ENSG00000019169"
"En1","ENSG00000163064"
"Insig2","ENSG00000125629"
"Ccdc93","ENSG00000125633"
"Ddx18","ENSG00000088205"
"Dpp10","ENSG00000175497"
"Actr3","ENSG00000115091"
"Slc35f5","ENSG00000115084"
"Gpr39","ENSG00000183840"
"Lypd1","ENSG00000150551"
"Nckap5","ENSG00000176771"
"Mgat5","ENSG00000152127"
"Tmem163","ENSG00000152128"
"Acmsd","ENSG00000153086"
"Ccnt2","ENSG00000082258"
"Map3k19","ENSG00000176601"
"Rab3gap1","ENSG00000115839"
"Zranb3","ENSG00000121988"
"R3hdm1","ENSG00000048991"
"Ubxn4","ENSG00000144224"
"Lct","ENSG00000115850"
"Mcm6","ENSG00000076003"
"Cxcr4","ENSG00000121966"
"Thsd7b","ENSG00000144229"
"Cd55","ENSG00000196352"
"Pfkfb2","ENSG00000123836"
"Yod1","ENSG00000180667"
"AA986860","ENSG00000182795"
"Fcamr","ENSG00000162897"
"Pigr","ENSG00000162896"
"Il24","ENSG00000162892"
"Il20","ENSG00000162891"
"Il19","ENSG00000142224"
"Il10","ENSG00000136634"
"Mapkapk2","ENSG00000162889"
"Dyrk3","ENSG00000143479"
"Eif2d","ENSG00000143486"
"Rassf5","ENSG00000266094"
"Ikbke","ENSG00000263528"
"Srgap2","ENSG00000266028"
"Fam72a","ENSG00000196550"
"Avpr1b","ENSG00000198049"
"Ctse","ENSG00000196188"
"Slc26a9","ENSG00000174502"
"Pm20d1","ENSG00000162877"
"Slc41a1","ENSG00000133065"
"Nucks1","ENSG00000069275"
"Slc45a3","ENSG00000158715"
"Elk4","ENSG00000158711"
"Cdk18","ENSG00000117266"
"Klhdc8a","ENSG00000162873"
"Nuak2","ENSG00000163545"
"Tmcc2","ENSG00000133069"
"Dstyk","ENSG00000133059"
"Rbbp5","ENSG00000117222"
"Tmem81","ENSG00000174529"
"Cntn2","ENSG00000184144"
"Nfasc","ENSG00000163531"
"Lrrn2","ENSG00000170382"
"Mdm4","ENSG00000198625"
"Pik3c2b","ENSG00000133056"
"Ppp1r15b","ENSG00000158615"
"Kiss1","ENSG00000170498"
"Ren1","ENSG00000143839"
"Etnk2","ENSG00000143845"
"Sox13","ENSG00000143842"
"Zc3h11a","ENSG00000058673"
"Zbed6","ENSG00000257315"
"Lax1","ENSG00000122188"
"Atp2b4","ENSG00000058668"
"Optc","ENSG00000188770"
"Prelp","ENSG00000188783"
"Fmod","ENSG00000122176"
"Btg2","ENSG00000159388"
"Chit1","ENSG00000133063"
"Chil1","ENSG00000133048"
"Mybph","ENSG00000133055"
"Adora1","ENSG00000163485"
"Myog","ENSG00000122180"
"Tmem183a","ENSG00000163444"
"Cyb5r1","ENSG00000159348"
"Adipor1","ENSG00000159346"
"Klhl12","ENSG00000117153"
"Rabif","ENSG00000183155"
"Kdm5b","ENSG00000117139"
"Syt2","ENSG00000143858"
"Ube2t","ENSG00000077152"
"Lgr6","ENSG00000133067"
"Ptpn7","ENSG00000143851"
"Arl8a","ENSG00000143862"
"Gpr37l1","ENSG00000170075"
"Elf3","ENSG00000163435"
"Rnpep","ENSG00000176393"
"Timm17a","ENSG00000134375"
"Lmod1","ENSG00000163431"
"Shisa4","ENSG00000198892"
"Ipo9","ENSG00000198700"
"Nav1","ENSG00000134369"
"Csrp1","ENSG00000159176"
"Phlda3","ENSG00000174307"
"Tnni1","ENSG00000159173"
"Lad1","ENSG00000159166"
"Tnnt2","ENSG00000118194"
"Pkp1","ENSG00000081277"
"Igfn1","ENSG00000163395"
"Tmem9","ENSG00000116857"
"Ascl5","ENSG00000232237"
"Cacna1s","ENSG00000081248"
"Kif21b","ENSG00000116852"
"Gpr25","ENSG00000170128"
"Camsap2","ENSG00000118200"
"Ddx59","ENSG00000118197"
"Kif14","ENSG00000118193"
"Zfp281","ENSG00000162702"
"Nr5a2","ENSG00000116833"
"Ptprc","ENSG00000081237"
"Atp6v1g3","ENSG00000151418"
"Nek7","ENSG00000151414"
"Lhx9","ENSG00000143355"
"2310009B15Rik","ENSG00000203724"
"Dennd1b","ENSG00000213047"
"Crb1","ENSG00000134376"
"Zbtb41","ENSG00000177888"
"Aspm","ENSG00000066279"
"F13b","ENSG00000143278"
"Cfhr1","ENSG00000244414"
"Cfh","ENSG00000000971"
"Kcnt2","ENSG00000162687"
"Cdc73","ENSG00000134371"
"B3galt2","ENSG00000162630"
"Glrx2","ENSG00000023572"
"Uchl5","ENSG00000116750"
"Rgs2","ENSG00000116741"
"Rgs13","ENSG00000127074"
"Rgs1","ENSG00000090104"
"Rgs21","ENSG00000253148"
"Rgs18","ENSG00000150681"
"Brinp3","ENSG00000162670"
"Pla2g4a","ENSG00000116711"
"Ptgs2","ENSG00000073756"
"Pdc","ENSG00000116703"
"Tpr","ENSG00000047410"
"Hmcn1","ENSG00000143341"
"Ivns1abp","ENSG00000116679"
"Swt1","ENSG00000116668"
"Trmt1l","ENSG00000121486"
"Rnf2","ENSG00000121481"
"Edem3","ENSG00000116406"
"1700025G04Rik","ENSG00000116667"
"Tsen15","ENSG00000198860"
"Colgalt2","ENSG00000198756"
"Rgl1","ENSG00000143344"
"Apobec4","ENSG00000173627"
"Arpc5","ENSG00000162704"
"Ncf2","ENSG00000116701"
"Smg7","ENSG00000116698"
"Nmnat2","ENSG00000157064"
"Lamc2","ENSG00000058085"
"Lamc1","ENSG00000135862"
"Shcbp1l","ENSG00000157060"
"Dhx9","ENSG00000135829"
"Npl","ENSG00000135838"
"Rgs8","ENSG00000135824"
"Rgs16","ENSG00000143333"
"Rnasel","ENSG00000135828"
"Rgsl1","ENSG00000121446"
"Glul","ENSG00000135821"
"Zfp648","ENSG00000179930"
"Cacna1e","ENSG00000198216"
"Ier5","ENSG00000162783"
"Mr1","ENSG00000153029"
"Stx6","ENSG00000135823"
"BC034090","ENSG00000135835"
"Xpr1","ENSG00000143324"
"Acbd6","ENSG00000230124"
"Lhx4","ENSG00000121454"
"Qsox1","ENSG00000116260"
"Cep350","ENSG00000135837"
"Tor1aip1","ENSG00000143337"
"Tor1aip2","ENSG00000169905"
"Fam163a","ENSG00000143340"
"Tdrd5","ENSG00000162782"
"Nphs2","ENSG00000116218"
"Axdnd1","ENSG00000162779"
"Soat1","ENSG00000057252"
"Abl2","ENSG00000143322"
"Tor3a","ENSG00000186283"
"Fam20b","ENSG00000116199"
"Ralgps2","ENSG00000116191"
"Angptl1","ENSG00000116194"
"Tex35","ENSG00000240021"
"Rasal2","ENSG00000075391"
"Sec16b","ENSG00000120341"
"Brinp2","ENSG00000198797"
"Astn1","ENSG00000152092"
"Pappa2","ENSG00000116183"
"Tnr","ENSG00000116147"
"4930523C07Rik","ENSG00000235750"
"Tnn","ENSG00000120332"
"Mrps14","ENSG00000120333"
"Cacybp","ENSG00000116161"
"Rabgap1l","ENSG00000152061"
"Gpr52","ENSG00000203737"
"Rc3h1","ENSG00000135870"
"Serpinc1","ENSG00000117601"
"Zbtb37","ENSG00000185278"
"Dars2","ENSG00000117593"
"Cenpl","ENSG00000120334"
"Klhl20","ENSG00000076321"
"Ankrd45","ENSG00000183831"
"Prdx6","ENSG00000117592"
"Tnfsf4","ENSG00000117586"
"Tnfsf18","ENSG00000120337"
"Fasl","ENSG00000117560"
"Suco","ENSG00000094975"
"4930558K02Rik","ENSG00000180999"
"Pigc","ENSG00000135845"
"Dnm3","ENSG00000197959"
"Vamp4","ENSG00000117533"
"Myoc","ENSG00000034971"
"Prrc2c","ENSG00000117523"
"Fmo4","ENSG00000076258"
"Fmo1","ENSG00000010932"
"Fmo2","ENSG00000094963"
"Fmo3","ENSG00000007933"
"Mroh9","ENSG00000117501"
"Prrx1","ENSG00000116132"
"Gorab","ENSG00000120370"
"Kifap3","ENSG00000075945"
"Scyl3","ENSG00000000457"
"Mettl18","ENSG00000171806"
"Sele","ENSG00000007908"
"Sell","ENSG00000188404"
"Selp","ENSG00000174175"
"F5","ENSG00000198734"
"Slc19a2","ENSG00000117479"
"Ccdc181","ENSG00000117477"
"Blzf1","ENSG00000117475"
"Nme7","ENSG00000143156"
"Atp1b1","ENSG00000143153"
"Dpt","ENSG00000143196"
"Xcl1","ENSG00000143184"
"Tbx19","ENSG00000143178"
"Sft2d2","ENSG00000213064"
"Tiprl","ENSG00000143155"
"Gpr161","ENSG00000143147"
"Dcaf6","ENSG00000143164"
"Mpc2","ENSG00000143158"
"Adcy10","ENSG00000143199"
"Mpzl1","ENSG00000197965"
"Rcsd1","ENSG00000198771"
"Creg1","ENSG00000143162"
"Cd247","ENSG00000198821"
"Pou2f1","ENSG00000143190"
"Gpa33","ENSG00000143167"
"Mael","ENSG00000143194"
"Ildr2","ENSG00000143195"
"Tada1","ENSG00000152382"
"Pogk","ENSG00000143157"
"Fam78b","ENSG00000188859"
"Uck2","ENSG00000143179"
"Tmco1","ENSG00000143183"
"Aldh9a1","ENSG00000143149"
"Mgst3","ENSG00000143198"
"Lrrc52","ENSG00000162763"
"Rxrg","ENSG00000143171"
"Lmx1a","ENSG00000162761"
"Pbx1","ENSG00000185630"
"Nuf2","ENSG00000143228"
"Rgs5","ENSG00000143248"
"Rgs4","ENSG00000117152"
"Hsd17b7","ENSG00000132196"
"Ddr2","ENSG00000162733"
"Uap1","ENSG00000117143"
"Uhmk1","ENSG00000152332"
"Sh2d1b1","ENSG00000198574"
"Gm7694","ENSG00000239887"
"Olfml2b","ENSG00000162745"
"Atf6","ENSG00000118217"
"Dusp12","ENSG00000081721"
"Fcrlb","ENSG00000162746"
"Fcrla","ENSG00000132185"
"Fcgr2b","ENSG00000072694"
"Fcgr4","ENSG00000203747"
"Fcgr3","ENSG00000143226"
"Sdhc","ENSG00000143252"
"Mpz","ENSG00000158887"
"Nr1i3","ENSG00000143257"
"Tomm40l","ENSG00000158882"
"Apoa2","ENSG00000158874"
"Fcer1g","ENSG00000158869"
"Ndufs2","ENSG00000158864"
"Adamts4","ENSG00000158859"
"B4galt3","ENSG00000158850"
"Ppox","ENSG00000143224"
"Usp21","ENSG00000143258"
"Ufc1","ENSG00000143222"
"Dedd","ENSG00000158796"
"Nit1","ENSG00000158793"
"Pfdn2","ENSG00000143256"
"Klhdc9","ENSG00000162755"
"Arhgap30","ENSG00000186517"
"Usf1","ENSG00000158773"
"Tstd1","ENSG00000215845"
"F11r","ENSG00000158769"
"Itln1","ENSG00000179914"
"Ly9","ENSG00000122224"
"Slamf7","ENSG00000026751"
